City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,75.2,moderate rain,-21.2,-175.2,Keleti Beach Resort
3,Chandbali,IN,63.5,clear sky,20.7833,86.7667,KABITA HOMES
4,Mataram,ID,75.2,broken clouds,-8.5833,116.1167,Hotel Santika Mataram
6,Mataura,NZ,58.39,scattered clouds,-46.1927,168.8643,Ellie's Villa
7,Castro,BR,65.95,light rain,-24.7911,-50.0119,CHACARA BAILLY
8,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
9,Butaritari,KI,80.71,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
10,Avarua,CK,82.4,light rain,-21.2078,-159.775,Paradise Inn
11,Hobart,AU,66.99,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
16,Esperance,AU,55.4,clear sky,-33.8667,121.9,Hospitality Esperance
18,East London,ZA,71.42,few clouds,-33.0153,27.9116,Tu Casa
22,Carnarvon,AU,77.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
23,Hithadhoo,MV,81.5,broken clouds,-0.6,73.0833,Scoop Guest House
24,Akyab,MM,60.58,clear sky,20.15,92.9,Hotel Memory
25,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
26,Chuy,UY,74.93,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
27,Hermanus,ZA,61.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
28,Miracema,BR,77.99,broken clouds,-21.4122,-42.1967,Novo Hotel Varandas
30,Puerto Ayora,EC,84.2,light rain,-0.7393,-90.3518,Castillo Galapagos
32,Busselton,AU,62.01,clear sky,-33.65,115.3333,Observatory Guest House
33,Trairi,BR,80.4,light rain,-3.2778,-39.2689,janelas do mar
35,Ahuimanu,US,80.6,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
36,Mahebourg,MU,80.6,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
41,Port Hedland,AU,80.6,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
42,Lebu,CL,58.44,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
43,New Norfolk,AU,66.99,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
45,Camacha,PT,62.6,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
46,Rikitea,PF,80.11,overcast clouds,-23.1203,-134.9692,Pension Maro'i
47,Port Elizabeth,ZA,62.6,clear sky,-33.918,25.5701,39 On Nile Guest House
48,Mizdah,LY,56.41,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
49,Viedma,AR,68.0,broken clouds,-40.8135,-62.9967,Hotel Cristal
50,Namibe,AO,74.41,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
51,Tsiroanomandidy,MG,69.89,broken clouds,-18.7667,46.0333,
53,San Patricio,US,71.6,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
54,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
57,Biak,ID,75.63,heavy intensity rain,-0.9131,122.8766,Penginapan Kim
58,Cabo San Lucas,MX,86.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
59,Ponta Do Sol,PT,57.0,broken clouds,32.6667,-17.1,Hotel do Campo
61,Port Alfred,ZA,64.0,clear sky,-33.5906,26.891,The Halyards Hotel
63,Georgetown,MY,78.01,few clouds,5.4112,100.3354,Cititel Penang
64,Cidreira,BR,78.24,overcast clouds,-30.1811,-50.2056,Hotel Castelo
66,Alice Springs,AU,82.99,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
67,Bredasdorp,ZA,61.0,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
68,Geraldton,AU,80.6,clear sky,-28.7667,114.6,Broadwater Mariner Resort
70,Bontang,ID,76.23,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
71,Isangel,VU,84.2,few clouds,-19.55,169.2667,Volcano Sea View Tree House
74,Beitbridge,ZW,77.77,overcast clouds,-22.2167,30.0,PETERS MOTEL & CONFERENCE CENTRE
75,Flinders,AU,72.0,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
