City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saskylakh,RU,2021=01-28 20:04:08,71.9167,114.0833,-42.27,79,48,4.18
1,Adwa,ET,2021=01-28 20:04:08,14.1646,38.8955,56.44,38,0,2.59
2,Smidovich,RU,2021=01-28 20:04:08,48.6,133.8167,-12.42,85,98,4.0
3,Puerto Ayora,EC,2021=01-28 20:04:08,-0.7393,-90.3518,84.2,70,20,13.8
4,Bluff,NZ,2021=01-28 20:04:09,-46.6,168.3333,48.0,80,99,8.01
5,Tondano,ID,2021=01-28 20:04:09,1.3038,124.9112,75.2,100,40,1.14
6,Grand Gaube,MU,2021=01-28 20:04:09,-20.0064,57.6608,78.01,80,1,3.0
7,Faanui,PF,2021=01-28 20:02:15,-16.4833,-151.75,81.43,68,84,8.79
8,Thompson,CA,2021=01-28 19:59:23,55.7435,-97.8558,-4.0,84,75,3.44
9,Grindavik,IS,2021=01-28 20:04:10,63.8424,-22.4338,23.0,80,0,4.61
10,Mar Del Plata,AR,2021=01-28 20:04:10,-38.0023,-57.5575,82.4,44,75,8.05
11,Provideniya,RU,2021=01-28 20:04:10,64.3833,-173.3,1.2,84,100,18.25
12,Dubuque,US,2021=01-28 20:04:10,42.4833,-90.8668,25.0,58,1,3.2
13,Busselton,AU,2021=01-28 20:03:52,-33.65,115.3333,63.0,77,0,12.97
14,Vaini,TO,2021=01-28 20:02:00,-21.2,-175.2,77.0,100,90,21.85
15,Chapada Dos Guimaraes,BR,2021=01-28 20:04:11,-15.4606,-55.7497,80.6,78,75,2.3
16,Kieta,PG,2021=01-28 20:02:42,-6.2167,155.6333,81.05,82,100,12.55
17,Rikitea,PF,2021=01-28 20:03:02,-23.1203,-134.9692,79.3,69,91,3.94
18,Nikolskoye,RU,2021=01-28 20:02:07,59.7035,30.7861,33.8,86,75,8.95
19,Bandar-E Lengeh,IR,2021=01-28 20:04:11,26.5579,54.8807,64.54,46,11,2.98
20,Roma,US,2021=01-28 20:03:44,43.2128,-75.4557,19.0,67,90,17.27
21,Adrar,MR,2021=01-28 20:04:12,20.5022,-10.0711,70.48,23,0,9.71
22,Charters Towers,AU,2021=01-28 20:04:12,-20.1,146.2667,70.23,90,81,6.91
23,Namatanai,PG,2021=01-28 20:04:12,-3.6667,152.4333,79.68,80,93,4.59
24,Tasiilaq,GL,2021=01-28 20:03:16,65.6145,-37.6368,28.4,86,90,18.41
25,Hami,CN,2021=01-28 20:04:13,42.8,93.45,18.21,84,0,1.48
26,Karasburg,NA,2021=01-28 20:04:13,-28.0167,18.75,82.38,16,0,11.9
27,Shenzhen,CN,2021=01-28 19:59:31,22.5455,114.0683,57.99,67,16,9.35
28,Fort Nelson,CA,2021=01-28 20:04:15,58.8053,-122.7002,-16.6,76,20,2.3
29,Salalah,OM,2021=01-28 20:00:41,17.0151,54.0924,71.6,60,20,3.44
30,Kapaa,US,2021=01-28 20:04:16,22.0752,-159.319,75.2,78,75,17.27
31,Jasper,US,2021=01-28 20:02:32,37.2001,-94.3502,42.01,56,1,10.36
32,Katsuura,JP,2021=01-28 20:04:16,35.1333,140.3,50.0,62,20,17.27
33,Slave Lake,CA,2021=01-28 20:04:16,55.2834,-114.769,-2.2,78,90,5.75
34,Jamestown,US,2021=01-28 20:00:55,42.097,-79.2353,17.01,79,90,12.66
35,Mataura,NZ,2021=01-28 20:03:00,-46.1927,168.8643,48.0,80,87,8.01
36,East London,ZA,2021=01-28 20:04:17,-33.0153,27.9116,69.89,75,61,9.57
37,Oranjemund,NA,2021=01-28 20:04:17,-28.55,16.4333,63.91,74,0,20.0
38,Alice Springs,AU,2021=01-28 20:04:17,-23.7,133.8833,80.6,47,75,3.44
39,Collie,AU,2021=01-28 20:04:17,-33.3667,116.15,63.0,77,0,8.72
40,Port Alfred,ZA,2021=01-28 20:04:17,-33.5906,26.891,66.99,76,0,4.0
41,Whitehorse,CA,2021=01-28 20:00:07,60.7161,-135.0538,-8.0,70,75,21.85
42,Atuona,PF,2021=01-28 20:04:18,-9.8,-139.0333,78.13,80,16,20.24
43,Aqtobe,KZ,2021=01-28 20:04:18,50.2797,57.2072,12.2,79,0,4.47
44,Valparaiso,CL,2021=01-28 20:02:47,-33.0393,-71.6273,84.2,33,0,18.41
45,Ushuaia,AR,2021=01-28 20:04:18,-54.8,-68.3,46.4,71,40,25.32
46,Albany,US,2021=01-28 20:00:17,42.6001,-73.9662,24.01,49,36,3.0
47,Hilo,US,2021=01-28 20:00:52,19.7297,-155.09,70.0,78,90,9.22
48,Andenes,NO,2021=01-28 20:04:18,69.3143,16.1194,23.0,68,0,18.41
49,Tuatapere,NZ,2021=01-28 20:04:19,-46.1333,167.6833,48.0,80,99,8.01
50,Butembo,CD,2021=01-28 20:04:19,0.15,29.2833,59.14,92,63,3.24
51,Barrow,US,2021=01-28 20:04:19,71.2906,-156.7887,-11.2,77,90,9.22
52,Ballina,AU,2021=01-28 20:03:14,-28.8667,153.5667,75.2,73,40,8.05
53,Upernavik,GL,2021=01-28 20:02:11,72.7868,-56.1549,-11.31,88,48,10.74
54,Jizan,SA,2021=01-28 20:00:03,17.3333,42.6667,77.0,78,0,5.75
55,San Felipe,VE,2021=01-28 20:04:20,10.3399,-68.7425,79.92,61,85,9.1
56,Moron,AR,2021=01-28 20:03:25,-34.6534,-58.6198,86.0,44,99,5.08
57,Butaritari,KI,2021=01-28 20:02:00,3.0707,172.7902,80.85,80,93,18.77
58,Fortuna,US,2021=01-28 20:01:43,40.5982,-124.1573,46.99,93,75,10.36
59,Hobart,AU,2021=01-28 19:59:51,-42.8794,147.3294,59.0,51,75,12.66
60,Farim,GW,2021=01-28 20:04:20,12.4839,-15.2217,86.0,37,0,0.76
61,New Norfolk,AU,2021=01-28 20:04:21,-42.7826,147.0587,57.99,58,93,1.99
62,Moose Factory,CA,2021=01-28 20:02:08,51.2585,-80.6094,5.0,72,90,14.97
63,Chokurdakh,RU,2021=01-28 20:02:17,70.6333,147.9167,-18.65,88,100,7.36
64,Esperance,AU,2021=01-28 20:02:49,-33.8667,121.9,57.2,88,1,4.61
65,Palmas De Monte Alto,BR,2021=01-28 20:04:21,-14.2672,-43.1619,88.39,33,79,6.91
66,Paciran,ID,2021=01-28 20:04:21,-6.8767,112.3761,77.27,88,100,16.6
67,Huacho,PE,2021=01-28 20:04:22,-11.1067,-77.605,76.39,64,5,11.65
68,Atar,MR,2021=01-28 20:02:28,20.5169,-13.0499,74.07,20,0,10.2
69,Chumikan,RU,2021=01-28 20:04:22,54.7183,135.315,-11.33,87,100,10.51
70,Swellendam,ZA,2021=01-28 20:04:22,-34.0226,20.4417,62.6,67,15,5.75
71,Palmas,BR,2021=01-28 20:04:22,-10.2128,-48.3603,78.8,89,75,2.3
72,Belozerskoye,RU,2021=01-28 20:04:23,55.8214,65.5842,18.97,95,100,13.49
73,Cabo San Lucas,MX,2021=01-28 20:03:11,22.8909,-109.9124,78.8,24,40,4.61
74,Lebu,CL,2021=01-28 20:04:23,-37.6167,-73.65,59.7,92,100,7.36
75,Basoko,CD,2021=01-28 20:02:54,1.2391,23.616,75.49,85,94,3.96
76,Kavaratti,IN,2021=01-28 20:03:00,10.5669,72.642,80.08,72,64,7.9
77,Yellowknife,CA,2021=01-28 20:00:03,62.456,-114.3525,-23.8,76,75,5.75
78,Yarada,IN,2021=01-28 20:04:24,17.65,83.2667,75.2,88,75,4.61
79,Maceio,BR,2021=01-28 20:03:35,-9.6658,-35.7353,78.8,83,75,10.36
80,Saint-Philippe,RE,2021=01-28 20:03:53,-21.3585,55.7679,78.8,73,0,8.05
81,Constitucion,CL,2021=01-28 20:03:37,-35.3333,-72.4167,66.56,68,100,12.35
82,Puerto Cabezas,NI,2021=01-28 20:04:24,14.0351,-83.3888,84.2,84,75,11.5
83,Sergeyevka,KZ,2021=01-28 20:04:24,53.88,67.4158,17.69,95,100,14.88
84,Broome,US,2021=01-28 20:04:25,42.2506,-75.833,17.01,57,90,11.5
85,Menongue,AO,2021=01-28 20:04:25,-14.6585,17.691,64.69,90,100,3.62
86,Urumqi,CN,2021=01-28 20:04:25,43.801,87.6005,3.2,92,100,1.83
87,Hithadhoo,MV,2021=01-28 20:04:25,-0.6,73.0833,81.59,72,94,10.29
88,Udachnyy,RU,2021=01-28 20:04:25,66.4167,112.4,-41.33,79,72,3.94
89,Chimbote,PE,2021=01-28 20:02:03,-9.0853,-78.5783,76.08,62,23,10.71
90,Bougouni,ML,2021=01-28 20:01:16,11.417,-7.479,80.24,15,14,4.65
91,Chara,RU,2021=01-28 20:04:26,56.9064,118.2631,-36.13,76,99,0.63
92,Dikson,RU,2021=01-28 20:03:05,73.5069,80.5464,-31.94,79,65,5.1
93,Cape Town,ZA,2021=01-28 20:03:35,-33.9258,18.4232,68.0,63,0,9.22
94,Shenjiamen,CN,2021=01-28 20:04:26,29.9576,122.298,38.14,74,0,18.34
95,Ponte Nova,BR,2021=01-28 20:01:19,-20.4164,-42.9086,79.75,67,99,7.34
96,Cherskiy,RU,2021=01-28 20:02:45,68.75,161.3,-27.83,85,100,2.46
97,Qaanaaq,GL,2021=01-28 20:02:08,77.484,-69.3632,-12.21,67,0,9.73
98,Zhongshu,CN,2021=01-28 20:03:38,24.5167,103.7667,41.54,73,79,3.4
99,Mount Gambier,AU,2021=01-28 20:04:28,-37.8333,140.7667,64.4,100,90,1.14
100,Barsovo,RU,2021=01-28 20:04:28,61.1667,73.1667,-5.8,77,40,6.71
101,Pangody,RU,2021=01-28 20:04:28,65.85,74.4859,-29.65,83,100,11.59
102,Arraial Do Cabo,BR,2021=01-28 20:00:07,-22.9661,-42.0278,91.4,51,0,19.57
103,Kot Kapura,IN,2021=01-28 20:04:14,30.5833,74.9,44.56,54,0,2.21
104,Mnogovershinnyy,RU,2021=01-28 20:04:29,53.9353,139.9242,-10.19,92,100,1.72
105,Punta Arenas,CL,2021=01-28 20:02:02,-53.15,-70.9167,50.0,50,75,27.63
106,Yurla,RU,2021=01-28 20:04:29,59.3259,54.3223,23.07,98,100,3.0
107,Coolum Beach,AU,2021=01-28 20:03:12,-26.5333,153.1,77.0,84,27,1.01
108,Kruisfontein,ZA,2021=01-28 20:04:29,-34.0033,24.7314,64.0,77,0,0.34
109,Bouna,CI,2021=01-28 20:04:30,9.2667,-3.0,81.25,14,0,2.57
110,Nanortalik,GL,2021=01-28 20:04:30,60.1432,-45.2371,31.01,92,100,3.51
111,Ribeira Grande,PT,2021=01-28 20:04:30,38.5167,-28.7,64.4,88,75,28.77
112,Torbay,CA,2021=01-28 20:01:18,47.6666,-52.7314,27.0,93,90,11.5
113,Kapit,MY,2021=01-28 20:04:30,2.0167,112.9333,72.23,95,100,1.23
114,Dunedin,NZ,2021=01-28 20:03:59,-45.8742,170.5036,51.01,70,80,10.0
115,Tura,IN,2021=01-28 20:04:31,25.5198,90.2201,58.48,59,0,3.11
116,Bredasdorp,ZA,2021=01-28 20:02:24,-34.5322,20.0403,62.6,67,2,5.75
117,Tingo Maria,PE,2021=01-28 20:04:31,-9.2895,-76.0088,87.8,55,75,3.44
118,Fairbanks,US,2021=01-28 20:04:31,64.8378,-147.7164,-7.01,77,20,2.53
119,Mackay,AU,2021=01-28 20:03:21,-21.15,149.2,77.0,88,75,12.66
120,Lake Oswego,US,2021=01-28 20:04:32,45.4207,-122.6706,46.99,81,90,6.91
121,Takoradi,GH,2021=01-28 20:04:32,4.8845,-1.7554,79.61,82,32,9.6
122,Sulangan,PH,2021=01-28 20:04:32,11.1373,123.7228,79.66,73,97,22.1
123,Isangel,VU,2021=01-28 20:02:05,-19.55,169.2667,78.8,89,75,14.54
124,Mutsu,JP,2021=01-28 20:00:35,41.2894,141.2169,37.0,69,100,8.01
125,Codrington,AU,2021=01-28 20:04:33,-38.2667,141.9667,65.23,94,100,12.17
126,Meadow Lake,US,2021=01-28 20:04:33,34.8014,-106.5436,42.01,51,90,4.32
127,Mbinga,TZ,2021=01-28 20:01:26,-10.9333,35.0167,71.6,83,40,5.75
128,Portage,US,2021=01-28 20:04:33,41.1667,-81.1998,21.99,79,90,9.22
129,Hermanus,ZA,2021=01-28 20:04:33,-34.4187,19.2345,60.01,84,4,6.35
130,Bambari,CF,2021=01-28 20:04:34,5.768,20.6757,84.78,35,87,3.49
131,Deer Lake,CA,2021=01-28 20:04:34,49.1667,-57.4316,23.0,74,90,10.36
132,Lorengau,PG,2021=01-28 20:04:34,-2.0226,147.2712,81.07,77,97,4.94
133,Pombal,BR,2021=01-28 20:04:34,-6.7703,-37.8017,90.88,37,74,12.08
134,Nola,IT,2021=01-28 20:04:34,40.922,14.5329,51.8,62,75,9.22
135,Hovd,MN,2021=01-28 20:04:34,48.0056,91.6419,3.94,84,0,0.96
136,Diapaga,BF,2021=01-28 20:04:35,12.0708,1.7889,79.7,15,0,8.01
137,Illapel,CL,2021=01-28 20:04:35,-31.6308,-71.1653,83.03,23,10,10.29
138,Airai,TL,2021=01-28 20:02:37,-8.9266,125.4092,61.81,100,100,4.47
139,Comodoro Rivadavia,AR,2021=01-28 20:03:10,-45.8667,-67.5,69.8,30,40,11.5
140,Peterhead,GB,2021=01-28 20:04:35,57.5058,-1.7981,35.6,100,90,13.8
141,Port Elizabeth,ZA,2021=01-28 20:03:12,-33.918,25.5701,62.6,82,0,4.61
142,Cidreira,BR,2021=01-28 20:04:36,-30.1811,-50.2056,75.87,80,100,11.34
143,Say,NE,2021=01-28 20:04:36,13.1007,2.3689,84.2,9,0,5.75
144,Tiznit,MA,2021=01-28 20:02:54,29.5833,-9.5,65.62,41,0,1.74
145,Bethel,US,2021=01-28 20:04:36,41.3712,-73.414,28.4,43,1,18.41
146,Pevek,RU,2021=01-28 20:03:11,69.7008,170.3133,-19.7,85,28,1.23
147,Korla,CN,2021=01-28 20:04:37,41.7597,86.1469,20.73,84,0,0.51
148,Toamasina,MG,2021=01-28 20:03:14,-18.1667,49.3833,80.6,89,40,6.91
149,Georgetown,MY,2021=01-28 20:04:37,5.4112,100.3354,78.8,94,20,6.46
150,Manokwari,ID,2021=01-28 20:04:37,-0.8667,134.0833,78.6,79,100,10.8
151,Pangnirtung,CA,2021=01-28 20:04:37,66.1451,-65.7125,-4.0,71,1,3.44
152,Henties Bay,NA,2021=01-28 20:04:37,-22.116,14.2845,66.31,79,0,4.99
153,Port Moresby,PG,2021=01-28 20:03:18,-9.4431,147.1797,73.4,94,20,11.5
154,Praia,CV,2021=01-28 20:00:48,14.9215,-23.5087,77.0,57,0,18.41
155,Harper,LR,2021=01-28 20:03:04,4.375,-7.7169,78.66,84,9,5.48
156,Klaksvik,FO,2021=01-28 20:04:38,62.2266,-6.589,32.0,64,18,12.66
157,Chapais,CA,2021=01-28 20:02:40,49.7834,-74.8492,-0.4,71,90,11.5
158,Balasheyka,RU,2021=01-28 20:04:38,53.2841,48.0851,19.33,98,100,6.51
159,Kaniama,CD,2021=01-28 20:04:38,-7.5667,24.1833,66.94,98,98,2.26
160,Pisco,PE,2021=01-28 20:03:42,-13.7,-76.2167,78.8,57,0,8.05
161,Ossora,RU,2021=01-28 20:04:39,59.2353,163.0719,0.28,85,100,4.23
162,Lisala,CD,2021=01-28 20:04:39,2.15,21.5167,71.56,95,100,0.89
163,Surt,LY,2021=01-28 20:04:39,31.2089,16.5887,61.74,72,38,16.82
164,Dudinka,RU,2021=01-28 20:04:40,69.4058,86.1778,-39.1,77,17,1.88
165,Flin Flon,CA,2021=01-28 20:04:40,54.7682,-101.865,1.4,78,90,11.5
166,Pemangkat,ID,2021=01-28 20:04:40,1.1667,108.9667,75.76,89,100,8.95
167,Guerrero Negro,MX,2021=01-28 20:01:04,27.9769,-114.0611,70.34,23,0,4.34
168,Karoi,ZW,2021=01-28 20:04:40,-16.8099,29.6925,66.78,95,99,3.24
169,Kiama,AU,2021=01-28 20:04:41,-34.6833,150.8667,69.01,83,100,1.99
170,Kontagora,NG,2021=01-28 20:04:41,10.3999,5.4695,81.32,15,0,6.62
171,Diu,IN,2021=01-28 20:04:41,20.7141,70.9822,64.81,28,0,13.04
172,Longyearbyen,SJ,2021=01-28 20:02:03,78.2186,15.6401,-2.2,55,20,27.63
173,Ugoofaaru,MV,2021=01-28 20:04:41,5.6667,73.0,80.92,60,0,8.93
174,Carutapera,BR,2021=01-28 20:03:42,-1.195,-46.02,83.17,66,57,9.51
175,La Asuncion,VE,2021=01-28 20:04:41,11.0333,-63.8628,79.25,75,18,12.1
176,Feijo,BR,2021=01-28 20:04:42,-8.1642,-70.3536,86.04,67,97,2.8
177,Mamlyutka,KZ,2021=01-28 20:04:42,54.9375,68.5394,20.68,94,100,18.77
178,Usakos,NA,2021=01-28 20:04:42,-22.0,15.6,77.22,46,4,7.63
179,Vardo,NO,2021=01-28 20:04:42,70.3705,31.1107,23.0,74,75,25.32
180,Luganville,VU,2021=01-28 20:04:43,-15.5333,167.1667,78.42,80,95,2.55
181,Avarua,CK,2021=01-28 20:02:08,-21.2078,-159.775,84.2,70,57,13.8
182,Shirokiy,RU,2021=01-28 20:04:43,49.758,129.523,-30.06,85,37,5.23
183,Zhangye,CN,2021=01-28 20:04:43,38.9342,100.4517,18.61,68,0,0.96
184,Tuktoyaktuk,CA,2021=01-28 20:04:43,69.4541,-133.0374,-34.6,74,1,10.36
185,Saint George,US,2021=01-28 20:04:43,37.1041,-113.5841,53.6,35,1,13.8
186,Touros,BR,2021=01-28 20:04:44,-5.1989,-35.4608,82.4,65,20,17.27
187,Smoky Lake,CA,2021=01-28 20:04:44,54.1169,-112.4686,1.4,78,68,1.14
188,Kilindoni,TZ,2021=01-28 20:04:44,-7.9139,39.6668,81.63,81,2,15.32
189,Boulder,US,2021=01-28 20:04:44,40.0833,-105.3505,46.0,42,1,6.91
190,Shibetsu,JP,2021=01-28 20:04:44,43.659,145.132,24.87,93,100,13.89
191,Muhos,FI,2021=01-28 20:04:45,64.808,25.9931,19.99,93,90,2.3
192,Tilichiki,RU,2021=01-28 19:59:51,60.4667,166.1,-2.63,93,100,9.13
